circuito,escuela,mesa,nombre,votos,perc,percAbs
00668,ESCUELA EP N°17/ES N°15,0213400075X,CELESTE Y BLANCA - 1,59.0,54.62,26.33
00668,ESCUELA EP N°17/ES N°15,0213400075X,CELESTE Y BLANCA - 2,49.0,45.37,21.87
00668,ESCUELA EP N°11,0213400076X,CELESTE Y BLANCA - 2,62.0,57.94,27.92
00668,ESCUELA EP N°11,0213400076X,CELESTE Y BLANCA - 1,45.0,42.05,20.27
00668,ESCUELA EP N°11,0213400077X,CELESTE Y BLANCA - 1,51.0,53.12,21.33
00668,ESCUELA EP N°11,0213400077X,CELESTE Y BLANCA - 2,45.0,46.87,18.82
00668,ESCUELA EP N°11,0213400078X,CELESTE Y BLANCA - 1,60.0,53.09,24.69
00668,ESCUELA EP N°11,0213400078X,CELESTE Y BLANCA - 2,53.0,46.9,21.81
00668,ESCUELA EP N°11,0213400079X,CELESTE Y BLANCA - 2,46.0,53.48,19.74
00668,ESCUELA EP N°11,0213400079X,CELESTE Y BLANCA - 1,40.0,46.51,17.16
00668,ESCUELA EP N°11,0213400080X,CELESTE Y BLANCA - 1,58.0,53.21,24.68
00668,ESCUELA EP N°11,0213400080X,CELESTE Y BLANCA - 2,51.0,46.78,21.7
00668,ESCUELA ES N°3/ES N°5,0213400081X,CELESTE Y BLANCA - 2,52.0,55.91,22.7
00668,ESCUELA ES N°3/ES N°5,0213400081X,CELESTE Y BLANCA - 1,41.0,44.08,17.9
00668,ESCUELA ES N°3/ES N°5,0213400082X,CELESTE Y BLANCA - 1,54.0,54.0,22.68
00668,ESCUELA ES N°3/ES N°5,0213400082X,CELESTE Y BLANCA - 2,46.0,46.0,19.32
00668,ESCUELA ES N°3/ES N°5,0213400083X,CELESTE Y BLANCA - 2,63.0,55.75,26.25
00668,ESCUELA ES N°3/ES N°5,0213400083X,CELESTE Y BLANCA - 1,50.0,44.24,20.83
00668,ESCUELA ES N°3/ES N°5,0213400084X,CELESTE Y BLANCA - 1,56.0,52.33,24.88
00668,ESCUELA ES N°3/ES N°5,0213400084X,CELESTE Y BLANCA - 2,51.0,47.66,22.66
00668,ESCUELA ES N°3/ES N°5,0213400085X,CELESTE Y BLANCA - 1,60.0,57.69,26.31
00668,ESCUELA ES N°3/ES N°5,0213400085X,CELESTE Y BLANCA - 2,44.0,42.3,19.29
00668,ESCUELA ES N°3/ES N°5,0213400086X,CELESTE Y BLANCA - 2,67.0,57.26,27.01
00668,ESCUELA ES N°3/ES N°5,0213400086X,CELESTE Y BLANCA - 1,50.0,42.73,20.16
00668,ESCUELA ES N°3/ES N°5,0213400087X,CELESTE Y BLANCA - 2,54.0,54.0,24.32
00668,ESCUELA ES N°3/ES N°5,0213400087X,CELESTE Y BLANCA - 1,46.0,46.0,20.72
00668,ESCUELA ES N°3/ES N°5,0213400088X,CELESTE Y BLANCA - 2,64.0,58.18,27.94
00668,ESCUELA ES N°3/ES N°5,0213400088X,CELESTE Y BLANCA - 1,46.0,41.81,20.08
00668,ESCUELA ES N°3/ES N°5,0213400089X,CELESTE Y BLANCA - 1,44.0,53.65,19.81
00668,ESCUELA ES N°3/ES N°5,0213400089X,CELESTE Y BLANCA - 2,38.0,46.34,17.11
00668,INSTITUTO PTE.SARMIENTO,0213400090X,CELESTE Y BLANCA - 1,51.0,51.51,22.66
00668,INSTITUTO PTE.SARMIENTO,0213400090X,CELESTE Y BLANCA - 2,48.0,48.48,21.33
00668,INSTITUTO PTE.SARMIENTO,0213400091X,CELESTE Y BLANCA - 2,53.0,51.45,21.72
00668,INSTITUTO PTE.SARMIENTO,0213400091X,CELESTE Y BLANCA - 1,50.0,48.54,20.49
00668,INSTITUTO PTE.SARMIENTO,0213400092X,CELESTE Y BLANCA - 1,76.0,56.71,31.27
00668,INSTITUTO PTE.SARMIENTO,0213400092X,CELESTE Y BLANCA - 2,58.0,43.28,23.86
00668,INSTITUTO PTE.SARMIENTO,0213400093X,CELESTE Y BLANCA - 1,66.0,62.26,28.08
00668,INSTITUTO PTE.SARMIENTO,0213400093X,CELESTE Y BLANCA - 2,40.0,37.73,17.02
00668,INSTITUTO PTE.SARMIENTO,0213400094X,CELESTE Y BLANCA - 1,61.0,55.45,26.29
00668,INSTITUTO PTE.SARMIENTO,0213400094X,CELESTE Y BLANCA - 2,49.0,44.54,21.12
00668,INSTITUTO PTE.SARMIENTO,0213400095X,CELESTE Y BLANCA - 1,72.0,53.73,30.12
00668,INSTITUTO PTE.SARMIENTO,0213400095X,CELESTE Y BLANCA - 2,62.0,46.26,25.94
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400096X,CELESTE Y BLANCA - 1,53.0,50.47,22.64
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400096X,CELESTE Y BLANCA - 2,52.0,49.52,22.22
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400097X,CELESTE Y BLANCA - 1,55.0,53.39,24.44
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400097X,CELESTE Y BLANCA - 2,48.0,46.6,21.33
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400098X,CELESTE Y BLANCA - 1,58.0,52.25,24.89
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400098X,CELESTE Y BLANCA - 2,53.0,47.74,22.74
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400099X,CELESTE Y BLANCA - 1,58.0,50.0,26.12
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400099X,CELESTE Y BLANCA - 2,58.0,50.0,26.12
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400100X,CELESTE Y BLANCA - 1,51.0,51.0,21.42
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400100X,CELESTE Y BLANCA - 2,49.0,49.0,20.58
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400101X,CELESTE Y BLANCA - 2,65.0,60.74,29.14
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400101X,CELESTE Y BLANCA - 1,42.0,39.25,18.83
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400102X,CELESTE Y BLANCA - 2,56.0,57.14,24.77
00668,COLEG.SAGRADO CORAZON DE JESUS,0213400102X,CELESTE Y BLANCA - 1,42.0,42.85,18.58
